"Data generated on Wednesday, August 5, 2026 at 10:30:23 PM EST"
Area/Partners of Destination,,,,,January 2015 - December 2015
And Commodities Exported,,,,,Quantities/Values in Thousands of Dollars
,,,,,,January,January,February,February,March,March,April,April,May,May,June,June,July,July,August,August,September,September,October,October,November,November,December,December,Total,Total,,,
,Partner,,Product,Year,UOM,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Period/Period %  Change (Value),Period/Period %  Change (Qty),Reporter Code,Partner Code,Product Code,
"1.56","Germany","1","Soybean Oil","2015-2015","MT","0","0.0","0","0.0","0","0.0","3","0.4","3","0.7","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","5","1.1","","","US","GM","0226AT",
"1.57","Greece","1","Soybean Oil","2015-2015","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","19","20.0","0","0.0","19","20.0","","","US","GR","0226AT",
"1.58","Haiti","1","Soybean Oil","2015-2015","MT","0","0.0","0","0.0","0","0.0","41","43.5","14","11.2","0","0.0","361","325.0","0","0.0","0","0.0","9","5.4","151","150.0","0","0.0","575","535.2","","","US","HA","0226AT",
"1.59","Indonesia","1","Soybean Oil","2015-2015","MT","8","3.0","37","21.8","39","27.4","10","5.0","0","0.0","0","0.0","48","35.8","0","0.0","71","54.9","25","16.9","41","25.1","0","0.0","279","189.9","","","US","ID","0226AT",
"1.60","India","1","Soybean Oil","2015-2015","MT","9","4.1","0","0.0","4","1.9","0","0.0","5","2.2","8","3.7","10","2.5","37","17.3","0","0.0","6","3.0","0","0.0","0","0.0","79","34.8","","","US","IN","0226AT",
"1.61","Cote d'Ivoire","1","Soybean Oil","2015-2015","MT","0","0.0","0","0.0","5","1.4","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","5","1.4","","","US","IV","0226AT",
"1.62","Iraq","1","Soybean Oil","2015-2015","MT","0","0.0","22","20.5","0","0.0","24","20.8","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","18","16.0","0","0.0","0","0.0","64","57.3","","","US","IZ","0226AT",
"1.63","Jamaica","1","Soybean Oil","2015-2015","MT","2,755","3,502.6","2,838","3,499.5","4","1.6","2,591","3,499.7","2,636","3,501.9","4","1.1","3,006","4,000.8","4","4.0","4","1.6","2,430","3,170.6","2,384","3,116.9","0","0.0","18,657","24,300.5","","","US","JM","0226AT",
"1.64","Lithuania","1","Soybean Oil","2015-2015","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","26","27.3","0","0.0","0","0.0","26","27.3","","","US","LH","0226AT",
"1.65","Malawi","1","Soybean Oil","2015-2015","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","408","350.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","408","350.0","","","US","MI","0226AT",
"1.66","Mauritania","1","Soybean Oil","2015-2015","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","5","4.0","0","0.0","0","0.0","0","0.0","5","4.0","","","US","MR","0226AT",
